image_name,matrix_type,solver,sigma,mse_mean,mse_max,mse_median
kodak_kodim05,dense,gauss_seidel,0.12,2.8551226706124215e-05,2.8829444611531814e-05,2.872210935845073e-05
kodak_kodim05,dense,gaussian,0.0,3.6840858172156486e-32,3.684085817215649e-32,3.684085817215649e-32
kodak_kodim05,dense,gaussian,0.01,2.0088948824064875e-07,2.0231619814257796e-07,2.0024080097285905e-07
kodak_kodim05,dense,gaussian,0.03,1.8048260588976772e-06,1.820286992065205e-06,1.8142079134440686e-06
kodak_kodim05,dense,gaussian,0.07,9.704119197067881e-06,9.915882882716694e-06,9.792451554259684e-06
kodak_kodim05,dense,gaussian,0.12,2.8551226419828285e-05,2.8829444469014204e-05,2.8722109271642062e-05
kodak_kodim05,dense,gmres,0.0,4.305833520742639e-18,4.305833520742639e-18,4.305833520742639e-18
kodak_kodim05,dense,gmres,0.01,2.0088947180410975e-07,2.0231619519058505e-07,2.0024078304779043e-07
kodak_kodim05,dense,gmres,0.03,1.804826089270467e-06,1.8202870312453997e-06,1.8142079748672189e-06
kodak_kodim05,dense,gmres,0.07,9.704119208696517e-06,9.915883017996604e-06,9.792451401632833e-06
kodak_kodim05,dense,gmres,0.12,2.855122636230639e-05,2.8829444626991622e-05,2.8722109261800234e-05
kodak_kodim05,dense,lu,0.0,2.524912799079772e-32,2.524912799079772e-32,2.524912799079772e-32
kodak_kodim05,dense,lu,0.01,2.0088948824064758e-07,2.0231619814257796e-07,2.0024080097285677e-07
kodak_kodim05,dense,lu,0.03,1.8048260588976774e-06,1.820286992065206e-06,1.8142079134440682e-06
kodak_kodim05,dense,lu,0.07,9.704119197067883e-06,9.915882882716694e-06,9.792451554259686e-06
kodak_kodim05,dense,lu,0.12,2.8551226419828275e-05,2.88294444690142e-05,2.8722109271642055e-05
kodak_kodim05,dense,np_solve,0.0,3.747633343005468e-32,3.747633343005468e-32,3.747633343005468e-32
kodak_kodim05,dense,np_solve,0.01,2.0088948824064867e-07,2.023161981425768e-07,2.002408009728591e-07
kodak_kodim05,dense,np_solve,0.03,1.8048260588976785e-06,1.8202869920652052e-06,1.8142079134440741e-06
kodak_kodim05,dense,np_solve,0.07,9.704119197067876e-06,9.915882882716679e-06,9.792451554259683e-06
kodak_kodim05,dense,np_solve,0.12,2.8551226419828275e-05,2.8829444469014197e-05,2.872210927164207e-05
kodak_kodim05,sparse,gauss_seidel,0.0,2.93773392425826e-17,2.93773392425826e-17,2.93773392425826e-17
kodak_kodim05,sparse,gauss_seidel,0.01,1.131789453770123e-06,1.1434058518448837e-06,1.133234637579634e-06
kodak_kodim05,sparse,gauss_seidel,0.03,1.005289211797028e-05,1.0147377653238086e-05,1.0049834042780842e-05
kodak_kodim05,sparse,gauss_seidel,0.07,5.472810534817837e-05,5.502938663442209e-05,5.469241783092494e-05
kodak_kodim05,sparse,gauss_seidel,0.12,0.000158294408958883,0.0001584215179630306,0.00015828255849679914
kodak_kodim05,sparse,gaussian,0.0,1.661896632293768e-32,1.661896632293768e-32,1.661896632293768e-32
kodak_kodim05,sparse,gaussian,0.01,1.1317894687707583e-06,1.1434058571763022e-06,1.1332346411759357e-06
kodak_kodim05,sparse,gaussian,0.03,1.0052891780654248e-05,1.0147377610661011e-05,1.0049833377532729e-05
kodak_kodim05,sparse,gaussian,0.07,5.472810598597393e-05,5.502938674745691e-05,5.469241919594044e-05
kodak_kodim05,sparse,gaussian,0.12,0.00015829441024095995,0.0001584215176100365,0.0001582825608813043
kodak_kodim05,sparse,gmres,0.0,5.905431613354427e-18,5.905431613354427e-18,5.905431613354427e-18
kodak_kodim05,sparse,gmres,0.01,1.1317894657210083e-06,1.1434058998202106e-06,1.1332345974299002e-06
kodak_kodim05,sparse,gmres,0.03,1.0052891632909488e-05,1.0147377682910813e-05,1.0049833071063701e-05
kodak_kodim05,sparse,gmres,0.07,5.4728105768759516e-05,5.5029386527442816e-05,5.469241881305355e-05
kodak_kodim05,sparse,gmres,0.12,0.00015829440979540474,0.00015842151689564278,0.0001582825597499784
kodak_kodim05,sparse,lu,0.0,8.461512008537901e-33,8.461512008537901e-33,8.461512008537901e-33
kodak_kodim05,sparse,lu,0.01,1.1317894687707594e-06,1.1434058571763022e-06,1.1332346411759347e-06
kodak_kodim05,sparse,lu,0.03,1.0052891780654245e-05,1.0147377610661016e-05,1.0049833377532722e-05
kodak_kodim05,sparse,lu,0.07,5.472810598597393e-05,5.502938674745691e-05,5.469241919594045e-05
kodak_kodim05,sparse,lu,0.12,0.00015829441024095992,0.00015842151761003646,0.0001582825608813043
kodak_kodim05,sparse,np_solve,0.0,2.224300073229198e-32,2.224300073229198e-32,2.224300073229198e-32
kodak_kodim05,sparse,np_solve,0.01,1.13178946877076e-06,1.1434058571763081e-06,1.1332346411759357e-06
kodak_kodim05,sparse,np_solve,0.03,1.0052891780654255e-05,1.0147377610661033e-05,1.0049833377532736e-05
